"CodeArticle";"CodeABarre";"Designation";"PrixAchatHT";"PrixAchatTTC";"PrixVenteHT";"PrixVenteTTC";"TVA";"Marge";"DateAlerte";"StockArticle";"ImageURL";"DescriptionWeb";"ProductBrand";"WebCategorySlug";"OldPriceTTC";"PromoBadge";"ProductGalleryURLs";"ProductSpecs";"Forme";"ProductUrl";"ReviewReason";"SuggestedCodeArticle";"SuggestedDesignation";"SuggestedBrand";"SuggestedScore";"SuggestedMethod";"SuggestedWebUrl"
"PS-SVR-AMPOULE-B3-HYDRA-30M-789FF5";"";"SVR AMPOULE B3 HYDRA 30ML";"0.000";"0.000";"101.445";"120.720";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/svr/svr-ampoule-b3-hydra-30ml-600x315w.jpg";"SVR ampoule B3 Hydratante est le sérum ultra-concentré en vitamine B3 apaise et renforce l’épiderme. Elle recharge les réserves hydriques de la peau.";"SVR";"visage";"134.133";"-25%";"";"";"";"https://www.parashop.tn/visage/svr-ampoule-b3-hydra-30ml";"Correspondance probable mais pas assez fiable pour etre appliquee automatiquement.";"8822";"SVR  AMPOULE HYDRA 30 ML";"SVR";"71";"approximation-intelligente";"https://www.parashop.tn/visage/svr-ampoule-b3-hydra-30ml"
"PS-BIODERMA-ATODERM-NUTRITI-9D951F";"";"BIODERMA ATODERM NUTRITIVE 40ML";"0.000";"0.000";"24.000";"28.560";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/bioderma/bioderma-atoderm-nutritive-40ml-600x315w.jpg";"Bioderma Atoderm Nutritive pour protèger et réparer intensément les peaux séches, déshydratées et sensibles. A prix bas chez parahop tunisie";"BIODERMA";"visage";"49.008";"-25%";"";"";"";"https://www.parashop.tn/visage/bioderma-atoderm-nutritive-40ml";"Correspondance probable mais pas assez fiable pour etre appliquee automatiquement.";"2796";"BIODERMA ATODERM CREME NUTRITIVE 40ML";"BIODERMA";"71";"approximation-intelligente";"https://www.parashop.tn/visage/bioderma-atoderm-nutritive-40ml"
"PS-BIODERMA-SEBIUM-GEL-MOUS-F3ED70";"";"BIODERMA SEBIUM GEL MOUSSANT TUBE 200ML";"0.000";"0.000";"27.600";"32.844";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/data/images_produits/BIODERMA/SEBIUM/bioderma-sebium-gel-moussant-200ml-tube-600x315w.jpg";"BIODERMA SEBIUM GEL MOUSSANT assainit l";"BIODERMA";"visage";"34.956";"-25%";"";"";"";"https://www.parashop.tn/visage/bioderma-sebium-gel-moussant-tube-200ml";"Correspondance probable mais pas assez fiable pour etre appliquee automatiquement.";"1424";"BIODERMA SEBIUM GEL MOUSSANT  TUBE";"BIODERMA";"74";"approximation-intelligente";"https://www.parashop.tn/visage/bioderma-sebium-gel-moussant-tube-200ml"
"PS-BIODERMA-SENSIBIO-GEL-MO-1D7BE3";"";"BIODERMA Sensibio Gel Moussant 100ML";"0.000";"0.000";"23.750";"28.263";"19.002";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/bioderma/bioderma-sensibio-gel-moussant-100ml-600x315w.jpg";"BIODERMA Sensibio gel Moussant nettoie en douceur apaise et hydrate les peaux sensibles. Au meilleur prix chez parashop tunisie";"BIODERMA";"visage";"44.080";"-25%";"";"";"";"https://www.parashop.tn/visage/bioderma-sensibio-gel-moussant-100ml";"Correspondance probable mais pas assez fiable pour etre appliquee automatiquement.";"8758";"BIODERMA SENSIBIO GEL MOUSSANT";"BIODERMA";"71";"approximation-intelligente";"https://www.parashop.tn/visage/bioderma-sensibio-gel-moussant-100ml"
"PS-BIODERMA-SENSIBIO-GEL-MO-2B9364";"";"BIODERMA Sensibio Gel Moussant 200ML";"0.000";"0.000";"31.200";"37.128";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/bioderma/bioderma-sensibio-gel-moussant-200-ml-600x315w.jpg";"BIODERMA Sensibio Gel Moussant se caractérise par une mousse oncteuse, au meilleur prix chez parashop tunisie";"BIODERMA";"visage";"37.485";"-25%";"";"";"";"https://www.parashop.tn/visage/bioderma-sensibio-gel-moussant-200ml";"Correspondance probable mais pas assez fiable pour etre appliquee automatiquement.";"8758";"BIODERMA SENSIBIO GEL MOUSSANT";"BIODERMA";"71";"approximation-intelligente";"https://www.parashop.tn/visage/bioderma-sensibio-gel-moussant-200ml"
"PS-BIODERMA-SENSIBIO-GEL-MO-55D9E7";"";"BIODERMA Sensibio Gel Moussant 500ML";"0.000";"0.000";"55.200";"65.688";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/bioderma/bioderma-sensibio-gel-moussant-500ml-600x315w.jpg";"Achetez BIODERMA Sensibio Gel Moussant permet de calmer rapidement les irritations. Au meilleur prix chez parashop tunisie";"BIODERMA";"visage";"99.000";"-25%";"";"";"";"https://www.parashop.tn/visage/bioderma-sensibio-gel-moussant-500ml";"Correspondance probable mais pas assez fiable pour etre appliquee automatiquement.";"8758";"BIODERMA SENSIBIO GEL MOUSSANT";"BIODERMA";"71";"approximation-intelligente";"https://www.parashop.tn/visage/bioderma-sensibio-gel-moussant-500ml"
"PS-DERMACEUTIC-HYAL-CEUTIC--C1F1EE";"";"DERMACEUTIC HYAL CEUTIC CREME 40ML";"0.000";"0.000";"103.200";"122.808";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/dermaceutic/dermaceutic-hyal-ceutic-creme-40ml-600x315w.jpg";"DERMACEUTIC HYAL CEUTIC CREME prévient le vieillissement prématuré de la peau. Au meilleur prix chez parashop tunisie";"DERMACEUTIC";"visage";"125.664";"-25%";"";"";"";"https://www.parashop.tn/visage/dermaceutic-hyal-ceutic-creme-40ml";"Correspondance probable mais pas assez fiable pour etre appliquee automatiquement.";"2265";"DERMACEUTIC HYAL CEUTIC 40ML";"DERMACEUTIC";"71";"approximation-intelligente";"https://www.parashop.tn/visage/dermaceutic-hyal-ceutic-creme-40ml"
"PS-DERMAGOR-SKIN-PLAST-CREM-97BB6E";"";"DERMAGOR SKIN PLAST Crème 40ML";"0.000";"0.000";"38.100";"45.339";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/dermagor/dermagor-skin-plast-creme-50ml-600x315w.jpg";"DERMAGOR SKIN PLAST Crème est un soin anti-âge multi-correcteur des rides profondes et la fermeté cutanée. A prix bas chez parashop tunisie";"Dermagor";"visage";"99.000";"-25%";"";"";"";"https://www.parashop.tn/visage/dermagor-skin-plast-creme-50ml";"Correspondance probable mais pas assez fiable pour etre appliquee automatiquement.";"1291";"DERMAGOR SKIN PLAST CREME";"DERMAGOR";"71";"approximation-intelligente";"https://www.parashop.tn/visage/dermagor-skin-plast-creme-50ml"
"PS-EUCERIN-DERMOPURE-GEL-NE-5302FB";"";"EUCERIN DERMOPURE CLINICAL Gel Nettoyant 200ML";"0.000";"0.000";"36.189";"43.065";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/eucerin/eucerin-dermopure-clinical-gel-nettoyant-200ml-600x315w.jpg";"EUCERIN DERMOPURE CLINICAL Gel Nettoyant élimine en douceur l";"EUCERIN";"visage";"65.485";"-25%";"";"";"";"https://www.parashop.tn/visage/eucerin-dermopure-gel-nettoyant-200ml";"Correspondance probable mais pas assez fiable pour etre appliquee automatiquement.";"8670";"EUCERIN DERMOPURE GEL NETTOYANT 200 ML";"EUCERIN";"74";"approximation-intelligente";"https://www.parashop.tn/visage/eucerin-dermopure-gel-nettoyant-200ml"
"PS-HYFAC-HYDRAFAC-CREME-RIC-71C6A9";"";"HYFAC HYDRAFAC CREME RICHE 40ML";"0.000";"0.000";"31.458";"37.435";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/hyfac/hyfac-hydrafac-creme-riche-40ml-600x315w.jpg";"HYFAC HYDRAFAC CREME RICHE protège et apaise la peau durablement. Disponible à prox bas chez parashop tunisie";"HYFAC";"visage";"41.595";"-25%";"";"";"";"https://www.parashop.tn/visage/hyfac-hydrafac-creme-riche-40ml";"Correspondance probable mais pas assez fiable pour etre appliquee automatiquement.";"6172";"HYFAC HYDRAFAC RICHE 40ML";"HYFAC";"71";"approximation-intelligente";"https://www.parashop.tn/visage/hyfac-hydrafac-creme-riche-40ml"
