id,numero_achat,date_achat,supplier_id,num_bl_fact,total_ht_net,total_fodec,total_ttc,created_at,created_by
4db0094f-e884-4996-ade1-a18e77275691,ACH-000001,2026-06-14,39c31c68-7199-4c68-9437-34b905de876e,20248,190.218,0,226.359,2026-06-14T23:39:34.949641+00:00,
2b7ce449-b903-4527-b3ae-5a5410e23a4f,ACH-000002,2026-06-10,39c31c68-7199-4c68-9437-34b905de876e,20289996,447.545,0,532.579,2026-06-15T09:57:47.353866+00:00,
17c099aa-b630-4d1c-a16c-10f64ad5bb13,ACH-000003,2026-06-10,39c31c68-7199-4c68-9437-34b905de876e,2026/0010,117,0,117,2026-06-15T18:03:51.779676+00:00,
102bde17-b235-45ac-b9fa-1e485aa54b22,ACH-000004,2026-06-15,39c31c68-7199-4c68-9437-34b905de876e,2026,193.295,0,230.021,2026-06-15T18:09:20.16529+00:00,
1d0b67b7-4bfa-437e-aee5-f746f8ec09b9,ACH-000005,2026-06-10,39c31c68-7199-4c68-9437-34b905de876e,2027,20.646,0,24.569,2026-06-15T18:10:19.858712+00:00,
e222f56d-0b9d-42be-b494-6201dcac10e6,ACH-000006,2026-06-15,39c31c68-7199-4c68-9437-34b905de876e,2026/1978,56,0,66.64,2026-06-15T22:05:28.080778+00:00,
aca473d2-b4c4-47bc-bea8-2f0fc4482b44,ACH-000007,2025-06-10,39c31c68-7199-4c68-9437-34b905de876e,2026/2005,292.503,0,339.149,2026-06-16T14:55:17.693915+00:00,
0faf9cc3-4d54-42c6-9f5f-ca2f0dd48f8e,ACH-000009,2026-06-21,39c31c68-7199-4c68-9437-34b905de876e,2026/1970,56,0,66.64,2026-06-21T18:09:27.639676+00:00,
43332e28-cfeb-4104-9b4e-8210368307cc,ACH-000010,2026-06-21,39c31c68-7199-4c68-9437-34b905de876e,2026/1971,91.598,0,108.896,2026-06-21T20:24:50.294389+00:00,
9efd4219-2373-4d9e-863c-c6f533084714,ACH-000011,2026-06-25,39c31c68-7199-4c68-9437-34b905de876e,2026/369,67.109,0,79.86,2026-06-25T23:00:57.645682+00:00,
5ca77e0c-94e5-4e6d-bc50-dc56342e7259,ACH-000014,2026-06-28,39c31c68-7199-4c68-9437-34b905de876e,2026/66666,74.739,0,88.939,2026-06-28T16:47:39.625848+00:00,chekib
46c70de7-69b3-4493-a87e-0b8ef2c25d5e,ACH-000015,2026-06-28,89c04a5b-3993-4c4a-8b0b-9818e4f717ea,2026/1245,156.84,0,186.64,2026-06-28T17:58:43.944548+00:00,chekib
83787da0-910c-42a9-8260-09e0eb99540a,ACH-000016,2026-06-30,39c31c68-7199-4c68-9437-34b905de876e,2026/1111,56,0,66.64,2026-06-30T17:15:00.79765+00:00,Administrateur
384d9906-a7b1-44fb-8e4a-c0aa5127ba55,ACH-000012,2026-07-01,39c31c68-7199-4c68-9437-34b905de876e,2026/1999,105.848,0,125.759,2026-07-01T20:44:32.516941+00:00,Administrateur
c6c00269-dc0b-4ea6-a185-b7d1be76a094,ACH-000013,2026-07-02,39c31c68-7199-4c68-9437-34b905de876e,2026/9658,93.359,0,111.098,2026-07-02T16:46:55.562757+00:00,Administrateur
9f555f50-045b-42e4-bdf8-67253ef904d8,ACH-000017,2026-07-02,39c31c68-7199-4c68-9437-34b905de876e,2026/22222,100.84,0,120,2026-07-02T16:49:39.465673+00:00,Administrateur
8180b05a-90bf-4803-afb8-645da915ec40,ACH-000018,2026-07-02,39c31c68-7199-4c68-9437-34b905de876e,2026/899,10.98,0,13.066,2026-07-02T16:57:26.175051+00:00,Administrateur
9299a942-3752-44c6-b241-d17d1d339957,ACH-000019,2026-07-02,39c31c68-7199-4c68-9437-34b905de876e,2026/99999,16.063,0,19.115,2026-07-02T17:07:52.749275+00:00,Administrateur
37c8a032-f329-4695-b68b-6c3f00103508,ACH-000020,2026-07-02,39c31c68-7199-4c68-9437-34b905de876e,2026/1414,20,0,23.8,2026-07-02T17:09:00.833005+00:00,Administrateur
