id,numero_vente,numero_bl,numero_facture,numero_devis,type_vente,client_id,mutuelle_id,payment_mode,total_ht,total_tva,total_ttc,statut,date_vente,validated_by,validated_by_user_id,created_by,created_at
6bb1ff8c-2214-4d3d-a580-9b65465ae862,VTE-000001,,FAC-000001,,COMPTANT,b0d2ca6c-e734-4e99-8580-152c8c5a58c8,,CREDIT,139.201,20.958,160.159,Valide,2026-06-14T16:22:00+00:00,,,,2026-06-14T19:25:49.549707+00:00
7920b3c7-0a1e-4ea8-a9c1-47e68794ebd9,VTE-000002,,,,COMPTANT,,,CARTE,52.042,9.888,61.93,Valide,2026-06-14T18:27:00+00:00,,,,2026-06-14T19:31:48.949142+00:00
1b33522d-4109-4fa0-9144-b75fe3118cca,VTE-000003,,,,COMPTANT,,,ESPECE,36.824,6.997,43.821,Valide,2026-06-15T16:49:00+00:00,,,,2026-06-15T17:49:17.913796+00:00
692413eb-5537-46c6-b459-5007ac8ae468,VTE-000004,,FAC-000002,,COMPTANT,b0d2ca6c-e734-4e99-8580-152c8c5a58c8,,CREDIT,16.263,3.09,19.353,Valide,2026-06-15T16:50:00+00:00,,,,2026-06-15T17:50:39.93805+00:00
a1861054-297f-4fee-a993-553616293916,VTE-000005,,,,COMPTANT,4783089a-075f-4ebb-90d2-00363fafaa88,,CREDIT,123.381,23.442,146.823,Valide,2026-06-16T13:03:00+00:00,,,,2026-06-16T14:10:34.015638+00:00
98b26b80-8594-4205-8f63-894f7e1898d6,VTE-000006,,FAC-000004,,COMPTANT,4783089a-075f-4ebb-90d2-00363fafaa88,,CREDIT,26.744,5.081,31.825,Valide,2026-06-16T13:14:00+00:00,,,,2026-06-16T14:15:08.906895+00:00
96f25652-28e1-4bd9-81fd-8b3947561ec7,VTE-000007,,,,COMPTANT,,,CARTE,56.845,10.8,67.645,Valide,2026-06-16T13:25:00+00:00,,,,2026-06-16T14:27:03.407938+00:00
857872ed-7f1a-40e3-a15d-9ebc3ac66813,VTE-000008,,,,COMPTANT,,,ESPECE,137.087,26.047,163.134,Valide,2026-06-16T13:59:00+00:00,,,,2026-06-16T15:01:05.082083+00:00
61d59a51-3c6b-4e84-836f-268655bca544,VTE-000009,,,,COMPTANT,,,ESPECE,32.615,6.197,38.812,Valide,2026-06-16T14:02:00+00:00,,,,2026-06-16T15:02:53.248555+00:00
9b64cfdc-858d-4fbf-8c08-64424a470761,VTE-000010,,FAC-000003,,COMPTANT,,,ESPECE,33.398,6.346,39.744,Valide,2026-06-16T14:26:00+00:00,,,,2026-06-16T15:27:07.996232+00:00
6aeea095-874c-4df4-98af-791a5db7a13d,VTE-000011,,,,COMPTANT,,,ESPECE,70.015,13.303,83.318,Valide,2026-06-17T16:12:00+00:00,,,,2026-06-17T17:13:11.148182+00:00
c819919a-bc19-490a-a60c-050ec916fa25,VTE-000012,,,,COMPTANT,,,ESPECE,56.129,10.665,66.794,Valide,2026-06-17T16:14:00+00:00,,,,2026-06-17T17:14:45.070802+00:00
