"CodeArticle";"CodeABarre";"Designation";"PrixAchatHT";"PrixAchatTTC";"PrixVenteHT";"PrixVenteTTC";"TVA";"Marge";"DateAlerte";"StockArticle";"ImageURL";"DescriptionWeb";"ProductBrand";"WebCategorySlug";"OldPriceTTC";"PromoBadge";"ProductGalleryURLs";"ProductSpecs";"Forme";"ProductUrl"
"PS-FILORGA-VOTRE-COFFRET-NC-DF577A";"";"FILORGA VOTRE COFFRET NCEF";"0.000";"0.000";"159.076";"99.000";"0.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/filorga/filorga-votre-coffret-ncef-600x315w.jpg";"FILORGA VOTRE COFFRET NCEF est disponible au meilleur prix chez votre parapharmacie parashop tunisie. Livraison gratuite dès 99DT";"";"visage";"189.300";"-25%";"";"";"";"https://www.parashop.tn/visage/filorga-votre-coffret-ncef"
"PS-SVR-SET-AMPOULE-B-AB81A9";"";"SVR SET AMPOULE B";"0.000";"0.000";"97.445";"99.000";"1.596";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/svr/svr-set-ampouleb-600x315w.jpg";"SVR SET AMPOULE B est disponible au meilleur prix chez votre parapharmacie parashop tunisie. Livraison gratuite dès 99DT";"";"visage";"115.959";"-25%";"";"";"";"https://www.parashop.tn/visage/svr-set-ampoule-b"
"PS-NUXE-TROUSSE-NUXURIANCE--320367";"";"NUXE TROUSSE NUXURIANCE LE SOIN CIBLE REGARD ET LEVRES";"0.000";"0.000";"126.983";"151.110";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/nuxe/nuxe-trousse-nuxuriance-le-soin-cible-regard-et-levres-600x315w.jpg";"NUXE NUXURIANCE TROUSSE INNOVATION ANTI-AGE LE SOIN CIBLE REGARD ET LEVRES au meilleur prix chez parashop tunisie";"";"visage";"154.133";"-25%";"";"";"";"https://www.parashop.tn/visage/nuxe-trousse-nuxuriance-le-soin-cible-regard-et-levres"
"PS-NUXE-EBB29E";"";"NUXE";"0.000";"0.000";"126.983";"151.110";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/marques/nuxe-logo-600x315w.jpg";"";"NUXE NUXE TROUSSE NUXURIANCE LE SOIN CIBLE REGARD ET LEVRES NUXE TROUSSE NUXURIANCE LE SOIN CIBLE REGARD ET LEVRESCe cof";"marque";"213.332";"-25%";"";"";"";"https://www.parashop.tn/nuxe"
"PS-URIAGE-PACK-HYSEAC-SERUM-DB7D08";"";"URIAGE PACK HYSEAC SERUM + MAT GEL CREME + Gel Nettoyant 150ML OFFERT";"0.000";"0.000";"104.993";"124.942";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/uriage/uriage-pack-hyseac-serum-mat-gel-creme-gel-nettoyant-150ml-offert-600x315w.jpg";"URIAGE PACK HYSEAC SERUM + MAT GEL CREME + Gel Nettoyant 150ML OFFERT. A prix bas tunisie";"";"visage";"159.166";"-25%";"";"";"";"https://www.parashop.tn/visage/uriage-pack-hyseac-serum-mat-gel-creme-gel-nettoyant-150ml-offert"
"PS-AVENE-COFFRET-TOLERANCE--ACB1D3";"";"AVENE COFFRET TOLERANCE CONTROL Creme  +EAU THERMALE 150ML OFFERTE";"0.000";"0.000";"67.078";"79.823";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/avene/avene-coffret-tolerance-control-creme-eau-thermale-150ml-offerte-600x315w.jpg";"AVENE COFFRET TOLERANCE CONTROL Creme  +EAU THERMALE 150ML OFFERTE";"";"visage";"106.845";"-25%";"";"";"";"https://www.parashop.tn/visage/avene-coffret-tolerance-control-creme-eau-thermale-150ml-offerte"
"PS-FILORGA-COPACK-NCEF-REVI-ADE362";"";"FILORGA COFFRET NCEF REVITALIZE SERUM";"0.000";"0.000";"201.108";"99.000";"0.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/filorga/filorga-copack-ncef-revitalize-serum-600x315w.jpg";"FILORGA COPACK NCEF REVITALIZE SERUM est disponible au meilleur prix chez votre parapharmacie parashop tunisie. Livraison gratuite dès 99DT";"";"visage";"239.319";"-25%";"";"";"";"https://www.parashop.tn/visage/filorga-copack-ncef-revitalize-serum"
"PS-FILORGA-18099C";"";"FILORGA";"0.000";"0.000";"159.076";"189.300";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/data/marques/filorga-logo-min-600x315w.jpg";"";"FILORGA FILORGA VOTRE COFFRET NCEF FILORGA VOTRE COFFRET NCEFFILORGA VOTRE COFFRET NCEF une sélection de soins de la gam";"marque";"224.363";"-25%";"";"";"";"https://www.parashop.tn/filorga"
"PS-FILORGA-COFFRET-PROTOCOL-D18AEF";"";"FILORGA COFFRET PROTOCOLE DENSITÉ";"0.000";"0.000";"213.866";"99.000";"0.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/filorga/filorga-coffret-protocole-densite-600x315w.jpg";"FILORGA COFFRET PROTOCOLE DENSITÉ est disponible au meilleur prix chez votre parapharmacie parashop tunisie. Livraison gratuite dès 99DT";"";"visage";"254.501";"-25%";"";"";"";"https://www.parashop.tn/visage/filorga-coffret-protocole-densite"
"PS-NUXE-TROUSSE-NUXURIANCE--743469";"";"NUXE TROUSSE NUXURIANCE LA CREME ANTI-AGE GLOBAL";"0.000";"0.000";"179.271";"213.332";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/nuxe/nuxe-trousse-nuxuriance-la-creme-anti-age-global-600x315w.jpg";"NUXE TROUSSE NUXURIANCE LA CREME ANTI-AGE GLOBAL Au meilleur prix chez parashop tunisie";"";"visage";"0.000";"-25%";"";"";"";"https://www.parashop.tn/visage/nuxe-trousse-nuxuriance-la-creme-anti-age-global"
"PS-SVR-SET-AMPOULE-A-AB81A8";"";"SVR SET AMPOULE A";"0.000";"0.000";"97.445";"99.000";"1.596";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/svr/svr-set-ampoule-a-600x315w.jpg";"SVR SET AMPOULE A est disponible au meilleur prix chez votre parapharmacie parashop tunisie. Livraison gratuite dès 99DT";"";"visage";"115.959";"-25%";"";"";"";"https://www.parashop.tn/visage/svr-set-ampoule-a"
"PS-SVR-TROUSSE-MES-ESSENTIE-81C096";"";"SVR TROUSSE Mes Essentiels Peau Rebondie et Energisée";"0.000";"0.000";"175.520";"99.000";"0.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/svr/svr-trousse-mes-essentiels-peau-rebondie-et-energisee-600x315w.jpg";"SVR TROUSSE Mes Essentiels Peau Rebondie et Energisée à bas prix en tunisie sur parashop votre parapharmacie en ligne. Livraison gratuite dès 99DT";"";"visage";"208.869";"-25%";"";"";"";"https://www.parashop.tn/visage/svr-trousse-mes-essentiels-peau-rebondie-et-energisee"
"PS-SVR-28B585";"";"SVR";"0.000";"0.000";"97.445";"115.959";"18.999";"0.000";"";"0";"https://www.parashop.tn/image/cache/data/marques/svr-logo-min-600x315w.jpg";"";"SVR SVR SET AMPOULE B SVR SET AMPOULE BCe pack se compose de";"marque";"129.104";"-25%";"";"";"";"https://www.parashop.tn/svr"
"PS-AVENE-COFFRET-CICALFATE--85DDE1";"";"AVENE COFFRET CICALFATE CREME REPARATRICE 100ML+EAU THERMALE 150ML OFFERTE";"0.000";"0.000";"47.806";"56.889";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/avene/avene-coffret-cicalfate-creme-reparatrice-100mleau-thermale-150ml-offerte-600x315w.jpg";"AVENE COFFRET CICALFATE CREME REPARATRICE 100ML+EAU THERMALE 150ML OFFERTE";"";"visage";"83.912";"-25%";"";"";"";"https://www.parashop.tn/visage/avene-coffret-cicalfate-creme-reparatrice-100mleau-thermale-150ml-offerte"
