"CodeArticle";"CodeABarre";"Designation";"PrixAchatHT";"PrixAchatTTC";"PrixVenteHT";"PrixVenteTTC";"TVA";"Marge";"DateAlerte";"StockArticle";"ImageURL";"DescriptionWeb";"ProductBrand";"WebCategorySlug";"OldPriceTTC";"PromoBadge";"ProductGalleryURLs";"ProductSpecs";"Forme";"ProductUrl"
"PS-SVR-SET-AMPOULE-B-AB81A9";"";"SVR SET AMPOULE B";"0.000";"0.000";"97.445";"99.000";"1.596";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/svr/svr-set-ampouleb-600x315w.jpg";"SVR SET AMPOULE B est disponible au meilleur prix chez votre parapharmacie parashop tunisie. Livraison gratuite dès 99DT";"SVR";"visage";"115.959";"-25%";"";"";"";"https://www.parashop.tn/visage/svr-set-ampoule-b"
"PS-NUXE-TROUSSE-NUXURIANCE--320367";"";"NUXE TROUSSE NUXURIANCE LE SOIN CIBLE REGARD ET LEVRES";"0.000";"0.000";"126.983";"151.110";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/nuxe/nuxe-trousse-nuxuriance-le-soin-cible-regard-et-levres-600x315w.jpg";"NUXE NUXURIANCE TROUSSE INNOVATION ANTI-AGE LE SOIN CIBLE REGARD ET LEVRES au meilleur prix chez parashop tunisie";"NUXE";"visage";"154.133";"-25%";"";"";"";"https://www.parashop.tn/visage/nuxe-trousse-nuxuriance-le-soin-cible-regard-et-levres"
"PS-URIAGE-PACK-HYSEAC-SERUM-DB7D08";"";"URIAGE PACK HYSEAC SERUM + MAT GEL CREME + Gel Nettoyant 150ML OFFERT";"0.000";"0.000";"104.993";"124.942";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/uriage/uriage-pack-hyseac-serum-mat-gel-creme-gel-nettoyant-150ml-offert-600x315w.jpg";"URIAGE PACK HYSEAC SERUM + MAT GEL CREME + Gel Nettoyant 150ML OFFERT. A prix bas tunisie";"";"visage";"159.166";"-25%";"";"";"";"https://www.parashop.tn/visage/uriage-pack-hyseac-serum-mat-gel-creme-gel-nettoyant-150ml-offert"
"PS-AVENE-COFFRET-TOLERANCE--ACB1D3";"";"AVENE COFFRET TOLERANCE CONTROL Creme  +EAU THERMALE 150ML OFFERTE";"0.000";"0.000";"67.078";"79.823";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/avene/avene-coffret-tolerance-control-creme-eau-thermale-150ml-offerte-600x315w.jpg";"AVENE COFFRET TOLERANCE CONTROL Creme  +EAU THERMALE 150ML OFFERTE";"AVENE";"visage";"106.845";"-25%";"";"";"";"https://www.parashop.tn/visage/avene-coffret-tolerance-control-creme-eau-thermale-150ml-offerte"
"PS-NUXE-TROUSSE-NUXURIANCE--743469";"";"NUXE TROUSSE NUXURIANCE LA CREME ANTI-AGE GLOBAL";"0.000";"0.000";"179.271";"213.332";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/nuxe/nuxe-trousse-nuxuriance-la-creme-anti-age-global-600x315w.jpg";"NUXE TROUSSE NUXURIANCE LA CREME ANTI-AGE GLOBAL Au meilleur prix chez parashop tunisie";"NUXE";"visage";"0.000";"-25%";"";"";"";"https://www.parashop.tn/visage/nuxe-trousse-nuxuriance-la-creme-anti-age-global"
"PS-SVR-SET-AMPOULE-A-AB81A8";"";"SVR SET AMPOULE A";"0.000";"0.000";"97.445";"99.000";"1.596";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/svr/svr-set-ampoule-a-600x315w.jpg";"SVR SET AMPOULE A est disponible au meilleur prix chez votre parapharmacie parashop tunisie. Livraison gratuite dès 99DT";"SVR";"visage";"115.959";"-25%";"";"";"";"https://www.parashop.tn/visage/svr-set-ampoule-a"
"PS-AVENE-COFFRET-CICALFATE--85DDE1";"";"AVENE COFFRET CICALFATE CREME REPARATRICE 100ML+EAU THERMALE 150ML OFFERTE";"0.000";"0.000";"47.806";"56.889";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/avene/avene-coffret-cicalfate-creme-reparatrice-100mleau-thermale-150ml-offerte-600x315w.jpg";"AVENE COFFRET CICALFATE CREME REPARATRICE 100ML+EAU THERMALE 150ML OFFERTE";"AVENE";"visage";"83.912";"-25%";"";"";"";"https://www.parashop.tn/visage/avene-coffret-cicalfate-creme-reparatrice-100mleau-thermale-150ml-offerte"
"PS-MURIAC-TROUSSE-LIGHTACT--463A34";"";"MURIAC TROUSSE LIGHTACT SÉRUM ANTI-TACHES + ESSENCE MICRO PEELING + MOUSSE (50% 0FFERTE)";"0.000";"0.000";"133.739";"159.150";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/muriac/muriac-trousse-lightact-serum-anti-taches-essence-micro-peeling-mousse-50-0fferte-600x315w.jpg";"MURIAC TROUSSE LIGHTACT SÉRUM ANTI-TACHES + ESSENCE MICRO PEELING + MOUSSE (50% 0FFERTE)";"";"visage";"225.600";"-25%";"";"";"";"https://www.parashop.tn/visage/muriac-trousse-lightact-serum-anti-taches-essence-micro-peeling-mousse-50-0fferte"
"PS-SVR-SET-AMPOULE-C-AB81AA";"";"SVR SET AMPOULE C";"0.000";"0.000";"97.445";"99.000";"1.596";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/svr/svr-set-ampoule-c-600x315w.jpg";"SVR SET AMPOULE C est disponible au meilleur prix chez votre parapharmacie parashop tunisie. Livraison gratuite dès 99DT";"SVR";"visage";"115.959";"-25%";"";"";"";"https://www.parashop.tn/visage/svr-set-ampoule-c"
"PS-TROUSSE-DAYLONG-FACE-SEN-5B59B4";"";"TROUSSE DAYLONG FACE SENSITIVE SPF50+ FLUIDE + CETAPHIL LOTION HYDRATANTE + Lotion Nettoyante OFFERTE";"0.000";"0.000";"99.400";"118.286";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/cetaphil/trousse-daylong-face-sensitive-spf50-fluide-cetaphil-lotion-hydratante-lotion-nettoyante-offerte-600x315w.jpg";"TROUSSE DAYLONG FACE SENSITIVE SPF50+ FLUIDE + CETAPHIL LOTION HYDRATANTE + Lotion Nettoyante OFFERTE";"";"visage";"159.148";"-25%";"";"";"";"https://www.parashop.tn/visage/trousse-daylong-face-sensitive-spf50-fluide-cetaphil-lotion-hydratante-lotion-nettoyante-offerte"
